Time,Open,High,Low,Close
1970-01-01 00:25:09.321600,0.00002246,0.00004598,0.00002246,0.00002700
1970-01-01 00:25:09.926400,0.00002700,0.00003638,0.00002663,0.00003275
1970-01-01 00:25:10.531200,0.00003274,0.00006250,0.00002702,0.00002880
1970-01-01 00:25:11.136000,0.00002882,0.00003081,0.00002576,0.00002645
1970-01-01 00:25:11.740800,0.00002649,0.00002863,0.00001997,0.00002186
1970-01-01 00:25:12.345600,0.00002191,0.00002220,0.00000002,0.00001529
1970-01-01 00:25:12.950400,0.00001527,0.00005890,0.00001400,0.00003749
1970-01-01 00:25:13.555200,0.00003750,0.00009758,0.00003653,0.00007180
1970-01-01 00:25:14.160000,0.00007186,0.00019651,0.00006004,0.00014299
1970-01-01 00:25:14.764800,0.00014296,0.00022968,0.00012000,0.00016860
1970-01-01 00:25:15.369600,0.00016860,0.00018930,0.00011904,0.00013401
1970-01-01 00:25:15.974400,0.00013416,0.00014700,0.00008400,0.00011827
1970-01-01 00:25:16.579200,0.00011828,0.00012803,0.00010524,0.00011589
1970-01-01 00:25:17.184000,0.00011588,0.00011700,0.00008500,0.00009931
1970-01-01 00:25:17.788800,0.00009950,0.00013797,0.00009200,0.00011860
1970-01-01 00:25:18.393600,0.00011865,0.00012549,0.00010200,0.00010286
1970-01-01 00:25:18.998400,0.00010286,0.00010430,0.00008801,0.00009420
1970-01-01 00:25:19.603200,0.00009420,0.00009428,0.00007802,0.00008750
1970-01-01 00:25:20.208000,0.00008759,0.00009480,0.00008000,0.00008571
1970-01-01 00:25:20.812800,0.00008567,0.00008775,0.00007000,0.00007934
1970-01-01 00:25:21.417600,0.00007944,0.00008500,0.00006600,0.00007502
1970-01-01 00:25:22.022400,0.00007503,0.00007540,0.00007010,0.00007018
1970-01-01 00:25:22.627200,0.00007019,0.00007465,0.00006882,0.00007087
1970-01-01 00:25:23.232000,0.00007085,0.00008735,0.00007046,0.00008301
1970-01-01 00:25:23.836800,0.00008303,0.00011008,0.00008051,0.00009804
1970-01-01 00:25:24.441600,0.00009813,0.00010222,0.00008650,0.00009217
1970-01-01 00:25:25.046400,0.00009221,0.00009555,0.00008757,0.00008957
1970-01-01 00:25:25.651200,0.00008947,0.00008967,0.00007492,0.00008414
1970-01-01 00:25:26.256000,0.00008404,0.00008579,0.00008035,0.00008206
1970-01-01 00:25:26.860800,0.00008207,0.00008390,0.00007660,0.00008226
1970-01-01 00:25:27.465600,0.00008229,0.00008947,0.00007700,0.00008941
1970-01-01 00:25:28.070400,0.00008939,0.00009119,0.00008253,0.00008595
1970-01-01 00:25:28.675200,0.00008603,0.00008730,0.00008029,0.00008160
1970-01-01 00:25:29.280000,0.00008168,0.00008232,0.00007608,0.00007727
1970-01-01 00:25:29.884800,0.00007725,0.00007864,0.00007145,0.00007271
1970-01-01 00:25:30.489600,0.00007262,0.00007814,0.00007080,0.00007136
1970-01-01 00:25:31.094400,0.00007134,0.00007153,0.00006960,0.00007028
1970-01-01 00:25:31.699200,0.00007037,0.00007185,0.00005860,0.00006065
1970-01-01 00:25:32.304000,0.00006064,0.00006081,0.00005385,0.00005524
1970-01-01 00:25:32.908800,0.00005524,0.00006239,0.00005385,0.00006185
1970-01-01 00:25:33.513600,0.00006185,0.00006189,0.00004657,0.00004681
1970-01-01 00:25:34.118400,0.00004687,0.00005724,0.00004010,0.00005279
1970-01-01 00:25:34.723200,0.00005279,0.00005391,0.00004805,0.00004817
1970-01-01 00:25:35.328000,0.00004821,0.00005190,0.00004400,0.00004690
1970-01-01 00:25:35.932800,0.00004688,0.00004718,0.00004105,0.00004425
1970-01-01 00:25:36.537600,0.00004427,0.00004467,0.00004077,0.00004324
1970-01-01 00:25:37.142400,0.00004325,0.00011750,0.00004275,0.00008535
1970-01-01 00:25:37.747200,0.00008533,0.00009369,0.00006820,0.00008791
1970-01-01 00:25:38.352000,0.00008791,0.00009088,0.00007112,0.00007305
1970-01-01 00:25:38.956800,0.00007304,0.00007488,0.00006077,0.00006471
1970-01-01 00:25:39.561600,0.00006460,0.00007359,0.00006320,0.00007053
1970-01-01 00:25:40.166400,0.00007049,0.00007422,0.00006791,0.00007158
1970-01-01 00:25:40.771200,0.00007159,0.00007376,0.00006872,0.00007246
1970-01-01 00:25:41.376000,0.00007246,0.00008729,0.00007154,0.00007904
1970-01-01 00:25:41.980800,0.00007910,0.00009357,0.00007200,0.00009115
1970-01-01 00:25:42.585600,0.00009114,0.00010523,0.00008731,0.00009359
1970-01-01 00:25:43.190400,0.00009355,0.00009650,0.00008672,0.00008890
1970-01-01 00:25:43.795200,0.00008890,0.00009300,0.00008628,0.00008713
1970-01-01 00:25:44.400000,0.00008714,0.00009118,0.00008550,0.00008877
1970-01-01 00:25:45.004800,0.00008882,0.00010032,0.00008550,0.00009339
1970-01-01 00:25:45.609600,0.00009339,0.00010722,0.00009080,0.00009599
1970-01-01 00:25:46.214400,0.00009599,0.00009784,0.00008981,0.00009033
1970-01-01 00:25:46.819200,0.00009033,0.00009511,0.00008891,0.00008957
1970-01-01 00:25:47.424000,0.00008955,0.00009144,0.00008808,0.00008962
1970-01-01 00:25:48.028800,0.00008963,0.00009075,0.00008608,0.00008633
1970-01-01 00:25:48.633600,0.00008634,0.00009643,0.00008281,0.00008734
1970-01-01 00:25:49.238400,0.00008733,0.00008805,0.00008258,0.00008420
1970-01-01 00:25:49.843200,0.00008418,0.00008608,0.00008243,0.00008266
1970-01-01 00:25:50.448000,0.00008268,0.00008873,0.00007878,0.00007945
1970-01-01 00:25:51.052800,0.00007944,0.00008791,0.00007900,0.00008169
1970-01-01 00:25:51.657600,0.00008169,0.00008318,0.00007921,0.00007984
1970-01-01 00:25:52.262400,0.00007989,0.00008383,0.00007905,0.00007921
1970-01-01 00:25:52.867200,0.00007920,0.00008001,0.00007648,0.00007714
1970-01-01 00:25:53.472000,0.00007713,0.00007764,0.00007398,0.00007527
1970-01-01 00:25:54.076800,0.00007527,0.00007650,0.00006656,0.00006988
1970-01-01 00:25:54.681600,0.00006987,0.00007056,0.00006290,0.00006385
1970-01-01 00:25:55.286400,0.00006385,0.00006586,0.00006024,0.00006076
1970-01-01 00:25:55.891200,0.00006075,0.00006305,0.00005354,0.00005641
1970-01-01 00:25:56.496000,0.00005641,0.00005961,0.00005162,0.00005202
1970-01-01 00:25:57.100800,0.00005201,0.00005344,0.00004253,0.00004450
1970-01-01 00:25:57.705600,0.00004450,0.00005779,0.00004024,0.00005101
1970-01-01 00:25:58.310400,0.00005105,0.00005145,0.00004595,0.00004689
1970-01-01 00:25:58.915200,0.00004687,0.00005401,0.00004654,0.00005089
1970-01-01 00:25:59.520000,0.00005088,0.00005537,0.00004816,0.00005051
1970-01-01 00:26:00.124800,0.00005051,0.00005087,0.00004512,0.00004769
1970-01-01 00:26:00.729600,0.00004770,0.00005019,0.00004121,0.00004311
1970-01-01 00:26:01.334400,0.00004311,0.00004326,0.00003304,0.00003651
1970-01-01 00:26:01.939200,0.00003654,0.00004003,0.00003320,0.00003474
1970-01-01 00:26:02.544000,0.00003474,0.00003476,0.00002769,0.00002984
1970-01-01 00:26:03.148800,0.00002985,0.00003347,0.00002849,0.00003125
1970-01-01 00:26:03.753600,0.00003123,0.00003327,0.00003068,0.00003271
1970-01-01 00:26:04.358400,0.00003270,0.00003370,0.00002890,0.00002911
1970-01-01 00:26:04.963200,0.00002911,0.00002912,0.00002458,0.00002627
1970-01-01 00:26:05.568000,0.00002626,0.00002826,0.00002400,0.00002749
1970-01-01 00:26:06.172800,0.00002748,0.00002780,0.00002528,0.00002659
1970-01-01 00:26:06.777600,0.00002657,0.00002760,0.00002513,0.00002632
1970-01-01 00:26:07.382400,0.00002631,0.00002632,0.00002365,0.00002522
1970-01-01 00:26:07.987200,0.00002522,0.00002579,0.00002432,0.00002525
1970-01-01 00:26:08.592000,0.00002525,0.00003208,0.00002516,0.00002757
1970-01-01 00:26:09.196800,0.00002757,0.00003034,0.00002490,0.00002987
1970-01-01 00:26:09.801600,0.00002986,0.00003257,0.00002961,0.00003251
1970-01-01 00:26:10.406400,0.00003251,0.00003483,0.00003120,0.00003351
1970-01-01 00:26:11.011200,0.00003351,0.00003779,0.00003351,0.00003576
1970-01-01 00:26:11.616000,0.00003575,0.00003767,0.00002900,0.00003131
1970-01-01 00:26:12.220800,0.00003130,0.00003288,0.00003065,0.00003157
1970-01-01 00:26:12.825600,0.00003157,0.00003368,0.00002985,0.00003087
1970-01-01 00:26:13.430400,0.00003088,0.00003158,0.00002994,0.00003095
1970-01-01 00:26:14.035200,0.00003095,0.00003304,0.00002960,0.00003190
1970-01-01 00:26:14.640000,0.00003192,0.00003218,0.00002936,0.00003040
1970-01-01 00:26:15.244800,0.00003042,0.00003074,0.00002900,0.00003051
1970-01-01 00:26:15.849600,0.00003052,0.00003092,0.00002988,0.00003054
1970-01-01 00:26:16.454400,0.00003054,0.00003060,0.00002587,0.00002618
1970-01-01 00:26:17.059200,0.00002621,0.00002664,0.00002565,0.00002659
1970-01-01 00:26:17.664000,0.00002660,0.00002708,0.00002604,0.00002644
1970-01-01 00:26:18.268800,0.00002644,0.00002968,0.00002533,0.00002630
1970-01-01 00:26:18.873600,0.00002630,0.00002850,0.00002551,0.00002708
1970-01-01 00:26:19.478400,0.00002707,0.00002790,0.00002588,0.00002685
1970-01-01 00:26:20.083200,0.00002684,0.00002764,0.00002502,0.00002690
1970-01-01 00:26:20.688000,0.00002689,0.00003043,0.00002661,0.00002783
1970-01-01 00:26:21.292800,0.00002782,0.00003355,0.00002692,0.00002951
1970-01-01 00:26:21.897600,0.00002949,0.00003027,0.00002763,0.00002848
1970-01-01 00:26:22.502400,0.00002848,0.00002852,0.00002557,0.00002663
1970-01-01 00:26:23.107200,0.00002663,0.00002715,0.00002428,0.00002539
1970-01-01 00:26:23.712000,0.00002539,0.00003000,0.00002457,0.00002855
1970-01-01 00:26:24.316800,0.00002855,0.00002927,0.00002489,0.00002540
1970-01-01 00:26:24.921600,0.00002540,0.00002876,0.00002375,0.00002768
1970-01-01 00:26:25.526400,0.00002768,0.00002813,0.00002570,0.00002646
1970-01-01 00:26:26.131200,0.00002646,0.00002815,0.00002622,0.00002744
1970-01-01 00:26:26.736000,0.00002744,0.00002765,0.00002652,0.00002655
1970-01-01 00:26:27.340800,0.00002655,0.00002710,0.00002550,0.00002550
1970-01-01 00:26:27.945600,0.00002550,0.00002809,0.00002381,0.00002465
1970-01-01 00:26:28.550400,0.00002465,0.00002492,0.00002130,0.00002259
1970-01-01 00:26:29.155200,0.00002260,0.00002280,0.00002063,0.00002079
1970-01-01 00:26:29.760000,0.00002080,0.00002220,0.00002056,0.00002209
1970-01-01 00:26:30.364800,0.00002209,0.00002223,0.00002069,0.00002093
